Date,Infection,HB,Age_Group,Sex,measure,value
2023-09-17,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-18,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-19,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-20,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-21,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-22,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-23,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-24,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-25,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-26,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-27,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-28,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-29,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-09-30,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-10-01,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-10-02,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-10-03,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-10-04,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
2023-10-05,Influenza,Aneurin Bevan UHB,0 to 4,Female,Roll_ARI_HB_COHA_Cases,0.0
